pl_name,pl_rade,pl_bmasse,pl_disc,rowupdate,gravity
WASP-8 b,11.635,713.18000,2010,2014-05-14,5.27
NN Ser d,,731.00000,2010,2014-05-14,NaN
24 Sex c,,273.32000,2010,2014-05-14,NaN
HAT-P-17 c,,1080.60000,2010,2014-05-14,NaN
NN Ser c,,2329.60000,2010,2014-05-14,NaN
Kepler-11 e,4.190,8.00000,2010,2014-05-14,1
HD 97658 b,2.247,7.55000,2010,2014-05-14,1.50
HD 200964 c,,284.44600,2010,2014-05-14,NaN
Kepler-40 b,13.110,699.20000,2010,2014-05-14,4.07
HD 218566 b,,66.74150,2010,2014-05-14,NaN
CoRoT-8 b,6.390,69.92000,2010,2014-05-14,1.71
CoRoT-10 b,10.870,874.00000,2010,2014-05-14,7.40
CoRoT-12 b,16.140,291.43800,2010,2014-05-14,1.12
CoRoT-13 b,9.920,415.70400,2010,2014-05-14,4.23
CoRoT-14 b,12.220,2415.40000,2010,2014-05-14,16.18
HD 99492 c,,114.41400,2010,2014-05-14,NaN
WASP-37 b,13.002,572.07000,2010,2014-05-14,3.39
WASP-33 b,16.780,1303.00000,2010,2014-05-14,4.63
Kepler-11 b,1.800,1.90000,2010,2014-05-14,1
WASP-29 b,8.878,77.54700,2010,2014-05-14,1
HD 200964 b,,587.96000,2010,2014-05-14,NaN
alf Ari b,,572.07000,2010,2014-05-14,NaN
WASP-38 b,12.263,855.24500,2010,2014-05-14,5.69
HD 102956 b,,305.10000,2010,2014-05-14,NaN
HD 25171 b,,301.92600,2010,2014-05-14,NaN
HAT-P-19 b,12.689,92.80200,2010,2014-05-14,1
HAT-P-21 b,11.478,1291.28900,2010,2014-05-14,9.81
HAT-P-22 b,12.106,682.35200,2010,2014-05-14,4.66
WASP-24 b,14.571,340.38200,2010,2014-05-14,1.60
HAT-P-24 b,13.922,217.70400,2010,2014-05-14,1.12
HAT-P-25 b,13.339,180.20200,2010,2014-05-14,1.01
HAT-P-26 b,6.333,18.75100,2010,2014-05-14,1
WASP-34 b,13.675,187.51000,2010,2014-05-14,1.00
WASP-32 b,13.227,1144.14000,2010,2014-05-14,6.54
24 Sex b,,632.46000,2010,2014-05-14,NaN
WASP-31 b,17.363,151.91600,2010,2014-05-14,1
Kepler-9 c,9.225,54.34700,2010,2014-05-14,1
HD 102365 b,,16.00000,2010,2014-05-14,NaN
Ross 458 c,13.675,1997.59000,2010,2014-05-14,10.69
