kepler_name,koi_disposition,koi_vet_stat,koi_datalink_dvs,koi_vet_date
Kepler-244 d,CONFIRMED,Active,006/006849/006849310/dv/kplr006849310-002-20141002224145_dvs.pdf,2015-09-18
Kepler-244 c,CONFIRMED,Active,006/006849/006849310/dv/kplr006849310-003-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006862/006862328/dv/kplr006862328-001-20141002224145_dvs.pdf,2015-09-18
Kepler-108 c,CONFIRMED,Active,009/009471/009471974/dv/kplr009471974-002-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,006/006862/006862603/dv/kplr006862603-001-20141002224145_dvs.pdf,2015-09-18
Kepler-82 b,CONFIRMED,Active,007/007366/007366258/dv/kplr007366258-002-20141002224145_dvs.pdf,2015-09-18
Kepler-82 c,CONFIRMED,Active,007/007366/007366258/dv/kplr007366258-001-20141002224145_dvs.pdf,2015-09-18
Kepler-82 e,CONFIRMED,Active,007/007366/007366258/dv/kplr007366258-003-20141002224145_dvs.pdf,2015-09-18
Kepler-82 d,CONFIRMED,Active,007/007366/007366258/dv/kplr007366258-004-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,007/007373/007373451/dv/kplr007373451-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006948/006948054/dv/kplr006948054-004-20141002224145_dvs.pdf,2015-09-18
Kepler-28 b,CONFIRMED,Active,006/006949/006949607/dv/kplr006949607-001-20141002224145_dvs.pdf,2015-09-18
Kepler-28 c,CONFIRMED,Active,006/006949/006949607/dv/kplr006949607-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,007/007031/007031517/dv/kplr007031517-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011869/011869052/dv/kplr011869052-001-20141002224145_dvs.pdf,2015-09-18
Kepler-46 b,CONFIRMED,Active,007/007109/007109675/dv/kplr007109675-001-20141002224145_dvs.pdf,2015-09-18
Kepler-46 d,CONFIRMED,Active,007/007109/007109675/dv/kplr007109675-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,007/007118/007118364/dv/kplr007118364-001-20141002224145_dvs.pdf,2015-09-18
